"distance" "date" "SrCa" "density" "SST"
24 2016-05-10 8.98810424858426 1.30660877342046 27.83
24.5 2016-04-05 8.95907335598002 1.48406769367264 28.31
25 2016-02-29 8.93874437354975 1.32807659613781 29.4
25.5 2016-02-19 8.95092941153871 1.16402432972463 28.78
26 2016-02-08 8.97738386985048 1.18057200425212 29.26
26.5 2016-01-28 8.99200151673552 1.14525561412173 30.13
27 2016-01-17 8.98324533095362 1.44219686190014 29.38
27.5 2016-01-06 8.96792535234191 1.311036573409 29.32
28 2015-12-26 8.94828441732695 1.28641933214448 28.55
28.5 2015-12-16 8.95394277869082 1.25825517193146 28.37
29 2015-12-05 8.98657507827912 1.32345473018132 27.14
29.5 2015-11-24 9.02967750779452 1.21956809919598 26.66
30 2015-11-13 9.04170342581715 1.36105855300082 26.86
30.5 2015-11-02 9.06152452042281 1.41239622821823 26.56
31 2015-10-22 9.07980965234409 1.23740964794806 26.21
31.5 2015-10-12 9.10020462110903 1.22115774226034 25.95
32 2015-10-01 9.14404141611027 1.20589744558808 25.2
32.5 2015-09-13 9.12319548324361 1.191050020936 25.22
33 2015-08-26 9.09769073456059 1.22336166040467 24.91
33.5 2015-08-08 9.07191627273431 1.38607048307205 25.17
34 2015-07-22 9.0418975809111 1.2464262130369 24.91
34.5 2015-07-04 9.00808119737841 1.18054526245285 25.73
35 2015-06-16 9.00434262463992 1.21726292655796 26.57
35.5 2015-05-29 8.95169771193744 1.31417082886276 26.89
36 2015-05-11 8.95990313623004 1.19059299701891 27.39
36.5 2015-04-24 8.93578834433147 1.23417285067631 28.03
37 2015-04-06 8.93516183821183 1.10824562857489 28.43
37.5 2015-03-19 8.92113411689891 1.40393906111292 28.86
38 2015-03-01 8.91302549802295 1.3510045675161 28.4
38.5 2015-02-14 8.95042790894209 1.40963737218786 28
39 2015-01-30 8.95554734980679 1.36235870979429 27.93
39.5 2015-01-15 8.94976274560806 1.22514864507339 27.96
40 2014-12-31 8.92767983744638 1.38091789829623 29.64
40.5 2014-12-16 8.9424058598602 1.4563315367615 28.09
41 2014-11-30 9.0110400671188 1.30338841090279 27.05
41.5 2014-11-15 9.01510044404854 1.25150078529283 26.32
42 2014-10-31 9.05329786538323 1.32509132091211 25.38
42.5 2014-10-16 9.08214616302938 1.32854978804283 25.3
43 2014-10-01 9.09943588569875 1.39951368500381 25.51
43.5 2014-08-31 9.08805976035364 1.45525606752487 25.35
44 2014-08-01 9.06927844096932 1.44944979227085 25.3
44.5 2014-07-01 9.06400578556678 1.12903901936916 25.28
45 2014-06-01 9.0086533850512 1.11336638905343 26.03
45.5 2014-05-01 8.99873185991073 1.2941588398262 28.14
46 2014-04-01 8.94943313451445 1.14010028105172 28.2
46.5 2014-03-01 8.92781245553532 1.38195315065197 28.81
47 2014-02-19 8.93460865361817 1.3490655219978 28.99
47.5 2014-02-08 8.95271253406689 1.4176098993471 29.01
48 2014-01-28 8.97187043360822 1.39431790031376 28.4
48.5 2014-01-17 8.99476944624055 1.42526667335097 28.11
49 2014-01-06 9.00349716413674 1.34792983030304 28.22
49.5 2013-12-26 8.97932501645403 1.35322891076456 28.64
50 2013-12-16 8.9711552154828 1.43286807548147 28.67
50.5 2013-12-05 8.994039014763 1.42425125249624 28.15
51 2013-11-24 9.02963695179702 1.42840350038518 26.98
51.5 2013-11-13 9.06861253676481 1.3797898844176 26.53
52 2013-11-02 9.101507863294 1.32871060545356 26.27
52.5 2013-10-22 9.10817105031914 1.40068930081491 26.32
53 2013-10-12 9.12067971435168 1.43237007125647 25.92
53.5 2013-10-01 9.1257881530428 1.29111131389071 25.53
54 2013-09-14 9.11758746479486 1.37392620357513 24.82
54.5 2013-08-29 9.11229463084878 1.32601346856537 24.26
55 2013-08-13 9.10053591979877 1.27649623351144 24.75
55.5 2013-07-27 9.04374623533399 1.23399181970118 23.72
56 2013-07-11 9.03462820740625 1.22269869641168 24.06
56.5 2013-06-24 8.97727443336255 1.27733128766889 24.33
57 2013-06-08 8.96731162071853 1.20759094605385 25.39
57.5 2013-05-22 8.98486891786383 1.26500066749548 26.09
58 2013-05-06 8.9614438432207 1.16164263740216 26.31
58.5 2013-04-20 8.97709935127129 1.18537094000787 27.13
59 2013-04-03 8.96389640551237 1.27775135995289 28.58
59.5 2013-03-18 8.95753317960222 1.34143753650751 28.08
60 2013-03-01 8.94624195084369 1.36553229856027 29.17
60.5 2013-01-22 8.99763815904482 1.18402082334046 28.01
61 2012-12-15 9.01205746248204 1.36967635959203 27.22
61.5 2012-11-07 9.09033342082209 1.28111802297991 25.41
62 2012-09-30 9.13737022867776 1.37579879154175 24.18
62.5 2012-08-18 9.12031741415578 1.39905546629087 23.73
63 2012-07-06 9.08920328952239 1.3383648512838 24.8
63.5 2012-05-25 9.05213205629267 1.3463674672532 26.39
64 2012-04-12 8.99057541630665 1.21302324757085 27.66
64.5 2012-02-29 8.93327102713603 1.29105010112516 28.38
65 2012-02-18 8.9353414589839 1.20521059886579 29.59
65.5 2012-02-06 8.93723314108373 1.25114009652079 28.64
66 2012-01-25 8.94912328326262 1.2060673967251 29.44
66.5 2012-01-14 8.96386088455962 1.37836891345531 29.09
67 2012-01-02 8.97156119567233 1.25051055010152 29.2
67.5 2011-12-21 8.96662978034502 1.25913100169309 28.7
68 2011-12-10 8.95672517685744 1.2229634425983 27.15
68.5 2011-11-28 8.96749359893328 1.31368460487156 27.19
69 2011-11-16 9.04069133738819 1.40768882632821 25.93
69.5 2011-11-05 9.03680177109498 1.24913771029785 25.18
70 2011-10-24 9.04855883406511 1.14291813715809 24.99
70.5 2011-10-12 9.08162594301981 1.2037868242214 24.95
71 2011-10-01 9.11474840309065 1.15013274702364 23.93
