distance,rdistance,HU
42.7243,33.694,3698.004
42.8213,33.791,3507.609
42.9183,33.888,3611.151
43.0153,33.985,3789.804
43.1123,34.082,3823.926
43.2093,34.179,3876.98
43.3063,34.276,3773.439
43.4033,34.373,3716.494
43.5013,34.471,3761.525
43.5983,34.568,3865.503
43.6953,34.665,3933.455
43.7923,34.762,4070.076
43.8893,34.859,4095.32
43.9863,34.956,3972.373
44.0833,35.053,3945.164
44.1803,35.15,4036.51
44.2773,35.247,4191.209
44.3743,35.344,4274.634
44.4723,35.442,4139.743
44.5693,35.539,4038.954
44.6663,35.636,4025.492
44.7633,35.733,3916.713
44.8603,35.83,3814.659
44.9573,35.927,3858.308
45.0543,36.024,3868.335
45.1513,36.121,3845.787
45.2483,36.218,3892.626
45.3453,36.315,4025.761
45.4423,36.412,4099.058
45.5403,36.51,4130.297
45.6373,36.607,4225.014
45.7343,36.704,4286.893
45.8313,36.801,4176.855
45.9283,36.898,4082.796
46.0253,36.995,4004.307
46.1223,37.092,4101.625
46.2193,37.189,4206.261
46.3163,37.286,4309.124
46.4133,37.383,4354.02
46.5113,37.481,4374.02
46.6083,37.578,4402.733
46.7053,37.675,4431.822
46.8023,37.772,4335.497
46.8993,37.869,4252.824
46.9963,37.966,4322.002
47.0933,38.063,4386.386
47.1903,38.16,4418.021
47.2873,38.257,4351.526
47.3843,38.354,4312.558
47.4823,38.452,4236.981
47.5793,38.549,4136.722
47.6763,38.646,4201.84
47.7733,38.743,4344.337
47.8703,38.84,4479.393
47.9673,38.937,4298.729
48.0643,39.034,4029.651
48.1613,39.131,3967.812
48.2583,39.228,4008.051
48.3563,39.326,4143.429
48.4533,39.423,4119.37
48.5503,39.52,4028.848
48.6473,39.617,4117.617
48.7443,39.714,4106.516
48.8413,39.811,4103.868
48.9383,39.908,4146.574
49.0353,40.005,4124.941
49.1323,40.102,4151.624
49.2293,40.199,4227.024
49.3273,40.297,4187.639
49.4243,40.394,4159.691
49.5213,40.491,4204.594
49.6183,40.588,4172.146
49.7153,40.685,4081.418
49.8123,40.782,4033.15
49.9093,40.879,4048.004
50.0063,40.976,4139.626
50.1033,41.073,4216.713
50.2003,41.17,4116.089
50.2983,41.268,4024.692
50.3953,41.365,3840.093
50.4923,41.462,3713.785
50.5893,41.559,3802.202
50.6863,41.656,3789.104
50.7833,41.753,3676.406
50.8803,41.85,3471.663
50.9773,41.947,3320.097
51.0743,42.044,3478.573
51.1713,42.141,3554.388
51.2683,42.238,3506.773
51.3663,42.336,3496.571
51.4633,42.433,3466.47
51.5603,42.53,3620.388
51.6573,42.627,3557.226
51.7543,42.724,3405.256
51.8513,42.821,3403.077
51.9483,42.918,3421.303
52.0453,43.015,3511.995
52.1423,43.112,3654.462
52.2393,43.209,3551.505
