distance,HU
55.347,4069.43
55.444,3820.214
55.541,3929.941
55.638,4327.522
55.735,4036.44
55.833,3690.281
55.93,3863.661
56.027,3830.07
56.124,3902.407
56.221,4042.558
56.318,4059.876
56.415,4320.243
56.512,4015.229
56.609,3744.554
56.706,3935.269
56.804,3686.333
56.901,3747.074
56.998,3788.99
57.095,3370.84
57.192,3470.174
57.289,3781.406
57.386,3840.413
57.483,3988.6
57.58,4080.841
57.677,3973.576
57.775,3357.6
57.872,3073.721
57.969,3450.436
58.066,3920.836
58.163,4159.141
58.26,4222.491
58.357,3901.622
58.454,3539.71
58.551,3864.042
58.648,4328
58.745,4677.441
58.843,4247.937
58.94,3923.037
59.037,4135.738
59.134,3942.566
59.231,3569.443
59.328,3997.901
59.425,4352.984
59.522,4289.03
59.619,4570.079
59.716,4164.373
59.814,4236.251
59.911,4491.891
60.008,4389.249
60.105,4349.294
60.202,4050.206
60.299,4038.323
60.396,3883.047
60.493,3681.106
60.59,3779.959
60.688,3795.416
60.785,4312.135
60.882,4603.444
60.979,4539.148
61.076,3960.678
61.173,3582.964
61.27,3753.257
61.367,4037.562
61.464,4072.484
61.561,4059.766
61.659,4221.079
61.756,3948.727
61.853,4002.311
61.95,4268.793
62.047,4596.75
62.144,4458.469
62.241,4283.826
62.338,4366.904
62.435,4486.083
62.532,4549.75
62.63,4276.556
62.727,4167.458
62.824,4193.722
62.921,4267.35
63.018,4297.033
63.115,4454.071
63.212,3844.414
63.309,3956.563
63.406,3947.421
63.503,4334.785
63.6,4502.324
63.698,4320.642
63.795,4244.509
63.892,4192.561
63.989,3806.505
64.086,3763.266
64.183,4341.52
64.28,4673.669
64.377,4250.907
64.474,4138.865
64.572,4017.196
64.669,4465.06
64.766,4151.1
64.863,3632.779
64.96,3560.515
65.057,4071.097
65.154,4014.53
65.251,4084.657
65.348,4056.297
65.445,3886.44
65.543,4000.742
65.64,4285.638
65.737,4308.271
65.834,4283.871
65.931,3871.901
66.028,3734.853
66.125,3747.196
66.222,4076.361
66.319,4258.694
66.416,4264.574
66.513,4476.259
66.611,4168.283
66.708,4030.729
66.805,4431.936
66.902,3958.879
66.999,3949.341
67.096,3831.716
67.193,4265.597
67.29,4315.473
67.387,3831.628
67.484,3954.999
67.582,4119.297
67.679,4324.481
67.776,4281.618
67.873,4188.221
67.97,3968.862
68.067,3553.679
68.164,3782.346
68.261,3881.514
68.358,4171.767
68.455,4304.205
68.553,4066.505
68.65,4001.23
68.747,4073.323
68.844,4124.583
68.941,4513.175
69.038,4594.255
69.135,4241.019
69.232,3918.114
69.329,4074.795
69.426,3869.562
69.524,3966.503
69.621,3506.755
69.718,3480.272
69.815,3436.635
69.912,3352.701
70.009,3545.467
70.106,3937.109
70.203,3804.836
70.3,3853.298
70.397,3532.747
70.495,3754.312
70.592,3971.343
70.689,3961.991
70.786,3772.848
70.883,3519.945
70.98,3528.079
71.077,3662.435
71.174,3630.033
71.271,3541.451
71.368,4404.817
71.466,3733.996
71.563,3403.676
71.66,3869.824
71.757,4046.904
71.854,4080.406
71.951,3743.219
72.048,3915.395
72.145,3683.708
72.242,3902.025
72.34,4157.208
72.437,3789.177
