"distance" "date" "SrCa" "density" "SST"
76 2012-11-15 8.96918261075967 1.19039230324422 26.02
76.5 2012-11-04 9.01032314364168 1.21774063561393 24.68
77 2012-10-23 9.0155250090757 1.1624201350975 24.86
77.5 2012-10-11 9.03334374400121 1.08945931629386 24.18
78 2012-09-30 9.03606020338762 1.17985342854992 24.18
78.5 2012-09-13 9.02752382455839 1.1506334418272 23.74
79 2012-08-28 9.01285081386921 1.30113155499462 24.69
79.5 2012-08-12 9.01095253082829 1.25798910439428 24
80 2012-07-26 8.93513147859586 1.21040725223379 24.32
80.5 2012-07-10 8.91356724470161 1.18620582714331 24.5
81 2012-06-23 8.86248005300805 1.28415402487216 25.16
81.5 2012-06-07 8.84151157143789 1.26160473585863 26.37
82 2012-05-21 8.84155652532769 1.23730441953021 26.37
82.5 2012-05-05 8.84925260473525 1.09492601692913 26.83
83 2012-04-19 8.85440049091127 1.0641004726885 27.64
83.5 2012-04-02 8.83824946896917 1.08792086507837 27.42
84 2012-03-17 8.82703337608617 1.10497457549832 27.87
84.5 2012-02-29 8.80408580555943 1.1678405773022 28.38
85 2012-02-17 8.82384315823823 1.23876541704833 29.26
85.5 2012-02-04 8.80775471046029 1.09458665230682 29.43
86 2012-01-22 8.82234694049216 1.15407811231093 29.39
86.5 2012-01-10 8.83276577170521 1.13283464941362 28.92
87 2011-12-28 8.87282292197095 1.07895007864436 28.54
87.5 2011-12-16 8.90842966945883 1.13650176174985 28.18
88 2011-12-03 8.93522099498622 1.18102698206609 27.54
88.5 2011-11-20 8.97282027963717 1.24824214029537 26.29
89 2011-11-08 9.00888391056793 1.17343519968877 26.29
89.5 2011-10-26 9.04732497390966 1.17778675984415 25.34
90 2011-10-13 9.03853124969668 1.21117927534269 24.98
90.5 2011-10-01 9.06570564921209 1.21433558201504 23.93
91 2011-09-04 8.98824096909648 1.21770784365704 23.92
91.5 2011-08-08 8.96205768846443 1.24329123511225 24.37
92 2011-07-13 8.89474381968078 1.20113099263729 25.07
92.5 2011-06-16 8.84257682389473 1.27682271639871 26.25
93 2011-05-20 8.82515841284141 1.22601173268889 27.51
93.5 2011-04-24 8.8202394827405 1.24224008528128 27.77
94 2011-03-28 8.80889972404199 1.16505905779548 28.33
94.5 2011-03-01 8.80601626089066 1.14665791957803 28.91
95 2011-02-20 8.8220003050523 1.17261639645847 28.29
95.5 2011-02-12 8.81247150253372 1.06527776630629 28.02
96 2011-02-03 8.82481595714457 1.03872369214067 29.16
96.5 2011-01-25 8.83210425996384 1.02812356857255 27.99
97 2011-01-16 8.84994676972958 1.11267829586329 28.1
97.5 2011-01-07 8.83837086690125 1.11670594477435 27.74
98 2010-12-29 8.8382150330852 1.17096590318065 27.54
98.5 2010-12-20 8.8611260939787 1.1448802583658 27.5
99 2010-12-11 8.87858383398045 1.18194224751024 27.1
99.5 2010-12-02 8.91318027102577 1.22406352389649 26.65
100 2010-11-23 8.93265015869782 1.30537167803824 26.45
100.5 2010-11-14 8.96427335474109 1.26929510910645 25.81
101 2010-11-05 8.96509679738904 1.30690797530298 25.34
101.5 2010-10-28 8.99425717775153 1.26864307620399 25.25
102 2010-10-19 9.0059406912508 1.44369518076027 24.95
102.5 2010-10-10 9.04794426443169 1.40648654432578 24.63
103 2010-10-01 9.08074890790317 1.3916864816083 24.08
103.5 2010-09-11 9.00726292830118 1.36682369167317 25.48
104 2010-08-23 8.93679286700564 1.23400142024922 24.3
104.5 2010-08-04 8.88481350335514 1.25479174197165 24.32
105 2010-07-15 8.86052532660269 1.1641727069334 24.51
105.5 2010-06-26 8.81905388321591 1.09792373512469 25.75
106 2010-06-06 8.79443584893121 1.10258458416302 26.47
106.5 2010-05-18 8.79460586078451 1.02554795937933 28.13
107 2010-04-29 8.79302737002517 1.21462453075249 28.28
107.5 2010-04-09 8.78722711866007 1.20489055701853 29.14
108 2010-03-21 8.79840229593105 1.24055023807187 29.59
108.5 2010-03-01 8.78377165011948 1.22040593004644 29.71
109 2010-02-12 8.80043814081073 1.1698196483224 29.59
109.5 2010-01-27 8.81577835349502 1.26379636927727 29.27
110 2010-01-10 8.87366126688703 1.23397511095951 29.74
110.5 2009-12-24 8.88064220617192 1.24875062311769 27.63
111 2009-12-07 8.91635951619209 1.32163258413791 26.79
111.5 2009-11-20 8.96857562835342 1.31314284670296 26.71
112 2009-11-03 9.01757445048911 1.30940761234808 25.29
112.5 2009-10-18 9.03474096754256 1.31730953728423 25.01
113 2009-10-01 9.03692232751845 1.37507740959328 24.3
113.5 2009-09-14 9.01053763032878 1.40212585194621 24.68
114 2009-08-29 8.9901673089504 1.41100551190416 24.92
114.5 2009-08-13 8.94544791069594 1.4083977799938 25.06
115 2009-07-27 8.90144318627826 1.31204869452989 25.57
115.5 2009-07-11 8.88092653135539 1.36564776657161 25.33
116 2009-06-24 8.86958060803696 1.36129126589875 26.59
116.5 2009-06-08 8.84960194345715 1.32464375536968 27.81
117 2009-05-22 8.84892481702054 1.30881193733624 27.84
117.5 2009-05-06 8.79286729691265 1.17572937512717 27.65
118 2009-04-20 8.79518028480761 1.2395922727609 28.98
118.5 2009-04-03 8.79915813180931 1.35389525722416 28.53
119 2009-03-18 8.78454964303673 NA 29.39
119.5 2009-03-01 8.7837056018697 NA 29.28
