"distance" "date" "SrCa" "density" "SST"
39.5 2016-02-12 8.8735707340462 1.10684837206823 28.74
40 2016-01-27 8.86890336846802 1.10277884097703 30.26
40.5 2016-01-10 8.89347366008939 1.10211417893085 29.19
41 2015-12-24 8.90183056933056 1.12036785182401 28.75
41.5 2015-12-07 8.93520627577379 1.15672131287909 28.52
42 2015-11-20 8.95097199369292 1.14882662759228 26.3
42.5 2015-11-03 8.96478807990137 1.18540092534387 26.73
43 2015-10-18 8.95880548694128 1.20279558703684 25.9
43.5 2015-10-01 8.98582105698896 1.20261725109688 25.2
44 2015-09-04 8.97420349821503 1.25573010859136 24.25
44.5 2015-08-08 8.93183444645992 1.29216953032809 25.17
45 2015-07-13 8.91063908702554 1.22866023156137 25.39
45.5 2015-06-16 8.87630389728223 1.29382986885759 26.57
46 2015-05-20 8.83378144672894 1.2701207598906 27.53
46.5 2015-04-24 8.83017488164573 1.35888036401018 28.03
47 2015-03-28 8.81149365501043 1.34679042445485 28.22
47.5 2015-03-01 8.78338622039986 1.31972990191144 28.4
48 2015-02-18 8.78453177043054 1.31700083443398 28.48
48.5 2015-02-06 8.79977476038712 1.28317110055216 27.94
49 2015-01-25 8.79751254788802 1.29776029447937 28.12
49.5 2015-01-14 8.81300367178945 1.31360192167797 28.01
50 2015-01-02 8.84144773727216 1.29798074222534 29.46
50.5 2014-12-21 8.85583997263816 1.19235196042817 29.15
51 2014-12-10 8.82611522401023 1.09932367443686 28.25
51.5 2014-11-28 8.81158503034614 1.14218220516296 26.76
52 2014-11-16 8.83722507034914 1.12809465695325 26.15
52.5 2014-11-05 8.86331118477325 1.15352647705596 25.58
53 2014-10-24 8.89392551403618 1.17274946564423 25.74
53.5 2014-10-12 8.92304800533596 1.21702089230622 25.26
54 2014-10-01 8.99667908782279 1.29668296315473 25.51
54.5 2014-09-17 8.97052045879513 1.25829158656579 25.08
55 2014-09-02 8.98255831260611 1.26318128777049 25.45
55.5 2014-08-19 8.99134215815722 1.26114269492191 25.07
56 2014-08-05 8.96144514065417 1.26269617111719 25.25
56.5 2014-07-22 8.92213129192499 1.31489073608721 25.32
57 2014-07-07 8.90401517987636 1.28954990641378 24.68
57.5 2014-06-23 8.81439073274799 1.18878755077624 25.58
58 2014-06-09 8.82566540892424 1.15888443009367 26.02
58.5 2014-05-26 8.81356688388166 1.20080247740219 27.46
59 2014-05-11 8.80540785660007 1.24771557384308 27.82
59.5 2014-04-27 8.8024521490348 1.3492951372303 27.4
60 2014-04-13 8.81092456047012 1.39942125002184 28.16
60.5 2014-03-30 8.79407045227318 1.42872079965387 29.01
61 2014-03-16 8.80714797053858 1.45345784623642 28.57
61.5 2014-03-01 8.79235108882328 1.43815352083936 28.81
62 2014-02-12 8.81462098560472 1.41353957947372 28.55
62.5 2014-01-27 8.83053367882828 1.36005518929781 28.45
63 2014-01-10 8.84567469001066 1.29369285960976 27.93
63.5 2013-12-24 8.89758361685409 1.22990633689856 28.81
64 2013-12-07 8.90411676642089 1.21161484148257 28.31
64.5 2013-11-20 8.95494460840603 1.19344016676876 26.86
65 2013-11-03 8.97760389643019 1.13246753563194 26.41
65.5 2013-10-18 9.00445823853891 1.1229202258761 26.09
66 2013-10-01 9.02062359299587 1.11240712439468 25.53
66.5 2013-09-11 8.99275968731199 1.11312531063836 23.65
67 2013-08-23 8.99097619216803 1.09705966581261 24.47
67.5 2013-08-04 9.00946249097275 1.20935588344234 24.78
68 2013-07-15 8.98738575777405 1.2080032289547 23.94
68.5 2013-06-26 8.95296575009236 1.21483901073058 24.24
69 2013-06-06 8.92067487612387 1.24925429374718 25.54
69.5 2013-05-18 8.89545585712736 1.15861431945832 26.01
70 2013-04-29 8.86339177908224 1.18775862740971 26.5
70.5 2013-04-09 8.8575990578422 1.20782948110991 27.63
71 2013-03-21 8.839903878418 1.19875572934665 29.12
71.5 2013-03-01 8.81360961278348 1.33260782535626 29.17
72 2013-02-18 8.81626333105747 1.38697526794153 29.61
72.5 2013-02-06 8.83821171416214 1.4506799778106 27.76
73 2013-01-25 8.84684319779147 1.43214386469357 28.13
73.5 2013-01-14 8.84891084887211 1.47942245772041 27.55
74 2013-01-02 8.87953984182687 1.47750268560423 27.85
74.5 2012-12-20 8.86785320587114 1.43811727501966 28.75
75 2012-12-09 8.90006187609026 1.39124860034494 26.95
75.5 2012-11-27 8.94124642644477 1.31121374818148 26.83
76 2012-11-15 8.96918261075967 1.23142721600367 26.02
76.5 2012-11-04 9.01032314364168 1.18299948363064 24.68
77 2012-10-23 9.0155250090757 1.2348664134248 24.86
77.5 2012-10-11 9.03334374400121 1.27342366473416 24.18
78 2012-09-30 9.03606020338762 1.24657682298759 24.18
78.5 2012-09-13 9.02752382455839 1.2878119200363 23.74
79 2012-08-28 9.01285081386921 1.2500600793627 24.69
79.5 2012-08-12 9.01095253082829 1.28237680365469 24
80 2012-07-26 8.93513147859586 1.32644165754856 24.32
80.5 2012-07-10 8.91356724470161 1.32834256534173 24.5
81 2012-06-23 8.86248005300805 1.3043692676061 25.16
81.5 2012-06-07 8.84151157143789 1.3450967791893 26.37
82 2012-05-21 8.84155652532769 1.34910250765488 26.37
82.5 2012-05-05 8.84925260473525 1.36379859097241 26.83
83 2012-04-19 8.85440049091127 1.41234184190477 27.64
83.5 2012-04-02 8.83824946896917 1.49041944413404 27.42
