"distance" "date" "SrCa_ratio"
80 2009-09-13 9.1088202580021
80.5 2009-08-26 9.09132213817993
81 2009-08-08 9.08263564594742
81.5 2009-07-22 9.06751079696552
82 2009-07-04 9.02167984896072
82.5 2009-06-16 8.99621762869702
83 2009-05-29 8.9626874345843
83.5 2009-05-11 8.93820816889006
84 2009-04-24 8.8940536552693
84.5 2009-04-06 8.94095625294909
85 2009-03-19 8.97816265036054
85.5 2009-03-01 8.98727677146548
86 2009-02-16 8.95132744734737
86.5 2009-02-02 8.92878501459779
87 2009-01-19 8.93214990154804
87.5 2009-01-05 8.96578698165005
88 2008-12-21 9.00700577775995
88.5 2008-12-08 9.03795890434653
89 2008-11-24 9.03954549649171
89.5 2008-11-10 9.05398205516392
90 2008-10-27 9.06436332552303
90.5 2008-10-14 9.07220376945711
91 2008-09-30 9.09857507769253
