"YYYY" "MM" "DD" "SST_MIN" "SST_MAX" "SST90th_HS" "SSTA90th_HS" "90th_HS>0" "DHW_from_90th_HS>1" "BAA_7day_max"
"215" 1985 8 3 28.43 29.27 29.2 0.8971 0 0 1
"216" 1985 8 4 28.29 29.1 28.85 0.5742 0 0 0
"217" 1985 8 5 28.13 28.91 28.76 0.4255 0 0 0
"218" 1985 8 6 27.7 28.69 28.63 0.3503 0 0 0
"219" 1985 8 7 27.61 28.64 28.57 0.3206 0 0 0
"220" 1985 8 8 27.87 28.56 28.44 0.2613 0 0 0
"221" 1985 8 9 27.57 28.26 28.19 0.0277 0 0 0
"222" 1985 8 10 27.6 28.24 28.15 0.08 0 0 0
"223" 1985 8 11 27.46 28.2 28.05 0.0461 0 0 0
"224" 1985 8 12 27.41 28.16 28.11 -0.1394 0 0 0
"225" 1985 8 13 27.12 28.14 28.09 -0.1535 0 0 0
"226" 1985 8 14 27.04 28 27.96 -0.2765 0 0 0
"227" 1985 8 15 27.22 28.92 28.72 0.23 0 0 0
"228" 1985 8 16 27.3 28.7 28.59 0.101 0 0 0
"229" 1985 8 17 27.2 28.67 28.61 0.1126 0 0 0
"230" 1985 8 18 27.03 28.41 28.34 -0.1281 0 0 0
"231" 1985 8 19 26.7 28.41 28.34 -0.1648 0 0 0
"232" 1985 8 20 26.71 28.13 28.02 -0.5336 0 0 0
"233" 1985 8 21 25.77 27.32 27.14 -1.3642 0 0 0
"234" 1985 8 22 26 27.27 27.02 -1.4977 0 0 0
"235" 1985 8 23 26.24 27.53 27.21 -1.2948 0 0 0
"236" 1985 8 24 26.72 28.3 28.12 -0.4013 0 0 0
"237" 1985 8 25 26.7 28.72 28.54 0.0097 0 0 0
"238" 1985 8 26 26.93 28.56 28.39 -0.1594 0 0 0
"239" 1985 8 27 26.75 28.74 28.58 -0.0184 0 0 0
"240" 1985 8 28 27.63 28.73 28.56 0.4081 0 0 0
"241" 1985 8 29 27.73 29.04 28.95 0.7803 0 0 0
"242" 1985 8 30 28.09 29.22 29.1 0.9268 0 0 0
"243" 1985 8 31 27.98 29.22 29.17 0.8742 0 0 0
"244" 1985 9 1 27.83 28.74 28.63 0.011 0 0 0
"245" 1985 9 2 27.39 28.51 28.42 -0.1842 0 0 0
"246" 1985 9 3 27.68 28.94 28.86 0.2384 0 0 0
"247" 1985 9 4 27.12 29.17 29.07 0.4365 0 0 0
"248" 1985 9 5 27 28.75 28.69 -0.0097 0 0 0
"249" 1985 9 6 26.87 28.49 28.39 -0.2858 0 0 0
"250" 1985 9 7 26.09 28.61 28.44 -0.2277 0 0 0
"251" 1985 9 8 25.88 28.66 28.44 -0.269 0 0 0
"252" 1985 9 9 25.82 28.66 28.46 -0.3819 0 0 0
"253" 1985 9 10 26.21 28.51 28.24 -0.4865 0 0 0
"254" 1985 9 11 26.51 28.06 27.91 -0.8039 0 0 0
"255" 1985 9 12 26.75 28.95 28.87 0.1671 0 0 0
"256" 1985 9 13 26.78 28.9 28.81 0.1729 0 0 0
"257" 1985 9 14 26.51 28.83 28.7 0.0461 0 0 0
"258" 1985 9 15 26.48 28.78 28.67 -0.08 0 0 0
"259" 1985 9 16 26.73 28.84 28.73 -0.0303 0 0 0
"260" 1985 9 17 26.79 28.72 28.65 -0.0213 0 0 0
"261" 1985 9 18 26.2 28.29 28.15 -0.651 0 0 0
"262" 1985 9 19 26.71 28.27 28.1 -0.7113 0 0 0
"263" 1985 9 20 26.97 28.38 28.16 -0.6433 0 0 0
"264" 1985 9 21 27.32 28.72 28.38 -0.45 0 0 0
"265" 1985 9 22 27.13 28.65 28.38 -0.47 0 0 0
"266" 1985 9 23 27.3 28.67 28.44 -0.4153 0 0 0
"267" 1985 9 24 27.43 28.79 28.52 -0.326 0 0 0
"268" 1985 9 25 27.14 28.77 28.53 -0.3233 0 0 0
"269" 1985 9 26 27.21 28.76 28.6 -0.2373 0 0 0
"270" 1985 9 27 27.53 28.54 28.41 -0.392 0 0 0
"271" 1985 9 28 27.77 28.55 28.48 0.0783 0 0 0
"272" 1985 9 29 28.08 28.83 28.78 0.3713 0 0 0
"273" 1985 9 30 27.92 28.97 28.93 0.49 0 0 0
"274" 1985 10 1 27.28 28.64 28.6 0.1393 0 0 0
"275" 1985 10 2 27.06 28.5 28.45 -0.017 0 0 0
"276" 1985 10 3 26.99 28.31 28.27 -0.136 0 0 0
"277" 1985 10 4 27.37 28.3 28.21 -0.2163 0 0 0
"278" 1985 10 5 27.71 29.21 29.1 0.6167 0 0 0
"279" 1985 10 6 27.66 29.11 29 0.478 0 0 0
"280" 1985 10 7 27.75 29.17 29.03 0.5033 0 0 0
"281" 1985 10 8 27.66 28.94 28.81 0.268 0 0 0
"282" 1985 10 9 28.27 29.12 28.97 0.424 0 0 0
"283" 1985 10 10 28.02 28.89 28.57 0.4967 0 0 0
"284" 1985 10 11 28.98 29.65 29.28 1.2313 0.19 0 1
"285" 1985 10 12 29.09 30.09 29.96 1.528 0.72 0 1
"286" 1985 10 13 29.1 29.9 29.81 1.3067 0.53 0 1
"287" 1985 10 14 28.67 29.56 29.48 0.864 0.19 0 1
"288" 1985 10 15 28.15 29.46 29.4 0.75 0.1 0 1
"289" 1985 10 16 28.06 29.63 29.44 0.7832 0.14 0 1
"290" 1985 10 17 28.37 29.39 29.29 0.7339 0.02 0 1
"291" 1985 10 18 28.25 29.44 29.31 0.6387 0.01 0 1
